Date,Open,High,Low,Close,Adj Close,Volume
2019-11-15,148.929993,149.990005,148.270004,149.970001,149.054306,23485700
2019-11-18,150.070007,150.550003,148.979996,150.339996,149.422043,21534000
2019-11-19,150.880005,151.330002,150.199997,150.389999,149.471725,23935700
2019-11-20,150.309998,150.839996,148.460007,149.619995,149.212433,25696800
2019-11-21,149.399994,149.800003,148.500000,149.479996,149.072815,18576100
2019-11-22,150.070007,150.300003,148.820007,149.589996,149.182526,15901800
2019-11-25,150.000000,151.350006,149.919998,151.229996,150.818054,22420900
2019-11-26,151.360001,152.419998,151.320007,152.029999,151.615875,24620100
2019-11-27,152.330002,152.500000,151.520004,152.320007,151.905090,15184400
2019-11-29,152.100006,152.300003,151.279999,151.380005,150.967651,11977300
2019-12-02,151.809998,151.830002,148.320007,149.550003,149.142639,27418400
2019-12-03,147.490005,149.429993,146.649994,149.309998,148.903290,24066000
2019-12-04,150.139999,150.179993,149.199997,149.850006,149.441818,17574700
2019-12-05,150.050003,150.320007,149.479996,149.929993,149.521591,17869100
2019-12-06,150.990005,151.869995,150.270004,151.750000,151.336639,16403500
2019-12-09,151.070007,152.210007,150.910004,151.360001,150.947708,16687400
2019-12-10,151.289993,151.889999,150.759995,151.130005,150.718338,16476100
2019-12-11,151.539993,151.869995,150.330002,151.699997,151.286774,18856600
2019-12-12,151.649994,153.440002,151.020004,153.240005,152.822586,24612100
2019-12-13,153.000000,154.889999,152.830002,154.529999,154.109070,23845400
2019-12-16,155.110001,155.899994,154.820007,155.529999,155.106339,24144200
2019-12-17,155.449997,155.710007,154.449997,154.690002,154.268631,25425600
2019-12-18,154.300003,155.479996,154.179993,154.369995,153.949509,24129200
2019-12-19,154.000000,155.770004,153.750000,155.710007,155.285858,24958900
2019-12-20,157.350006,158.490005,156.289993,157.410004,156.981232,53477500
2019-12-23,158.119995,158.119995,157.270004,157.410004,156.981232,17718200
2019-12-24,157.479996,157.710007,157.119995,157.380005,156.951309,8989200
2019-12-26,157.559998,158.729996,157.399994,158.669998,158.237793,14520600
2019-12-27,159.449997,159.550003,158.220001,158.960007,158.527008,18412800
2019-12-30,158.990005,159.020004,156.729996,157.589996,157.160736,16348400
2019-12-31,156.770004,157.770004,156.449997,157.699997,157.270432,18369400
2020-01-02,158.779999,160.729996,158.330002,160.619995,160.182480,22622100
2020-01-03,158.320007,159.949997,158.059998,158.619995,158.187927,21116200
2020-01-06,157.080002,159.100006,156.509995,159.029999,158.596817,20813700
2020-01-07,159.320007,159.669998,157.320007,157.580002,157.150772,21634100
2020-01-08,158.929993,160.800003,157.949997,160.089996,159.653915,27746500
2020-01-09,161.839996,162.220001,161.029999,162.089996,161.648468,21385000
2020-01-10,162.820007,163.220001,161.179993,161.339996,160.900513,20725900
2020-01-13,161.759995,163.309998,161.259995,163.279999,162.835236,21626500
2020-01-14,163.389999,163.600006,161.720001,162.130005,161.688370,23477400
2020-01-15,162.619995,163.940002,162.570007,163.179993,162.735504,21417900
2020-01-16,164.350006,166.240005,164.029999,166.169998,165.717361,23865400
2020-01-17,167.419998,167.470001,165.429993,167.100006,166.644836,34371700
2020-01-21,166.679993,168.190002,166.429993,166.500000,166.046463,29517200
2020-01-22,167.399994,167.490005,165.679993,165.699997,165.248642,24138800
2020-01-23,166.190002,166.800003,165.270004,166.720001,166.265869,19680800
2020-01-24,167.509995,167.529999,164.449997,165.039993,164.590439,24918100
2020-01-27,161.149994,163.380005,160.199997,162.279999,161.837952,32078100
2020-01-28,163.779999,165.759995,163.070007,165.460007,165.009308,24899900
2020-01-29,167.839996,168.750000,165.690002,168.039993,167.582260,34754500
2020-01-30,174.050003,174.050003,170.789993,172.779999,172.309357,51597500
2020-01-31,172.210007,172.399994,169.580002,170.229996,169.766296,36142700
2020-02-03,170.429993,174.500000,170.399994,174.380005,173.904999,30149100
2020-02-04,177.139999,180.639999,176.309998,180.119995,179.629364,36433300
2020-02-05,184.029999,184.199997,178.410004,179.899994,179.409958,39186300
2020-02-06,180.970001,183.820007,180.059998,183.630005,183.129807,27751400
2020-02-07,182.850006,185.630005,182.479996,183.889999,183.389099,33529100
2020-02-10,183.580002,188.839996,183.250000,188.699997,188.185989,35844300
2020-02-11,190.649994,190.699997,183.500000,184.440002,183.937607,53159900
2020-02-12,185.580002,185.850006,181.850006,184.710007,184.206863,47062900
2020-02-13,183.080002,186.229996,182.869995,183.710007,183.209595,35295800
2020-02-14,183.250000,185.410004,182.649994,185.350006,184.845123,23149500
2020-02-18,185.610001,187.699997,185.500000,187.229996,186.720001,27792200
2020-02-19,188.059998,188.179993,186.470001,187.279999,187.279999,29997500
2020-02-20,186.949997,187.250000,181.100006,184.419998,184.419998,36862400
2020-02-21,183.169998,183.500000,177.250000,178.589996,178.589996,48572600
2020-02-24,167.770004,174.550003,163.229996,170.889999,170.889999,68311100
