Date,Open,High,Low,Close,Adj Close,Volume
2019-11-15,54.639999,58.180000,54.259998,57.560001,57.560001,8366700
2019-11-18,57.880001,60.369999,57.880001,59.360001,59.360001,11088300
2019-11-19,59.680000,59.740002,58.860001,59.389999,59.389999,4068000
2019-11-20,58.939999,59.549999,58.150002,59.459999,59.459999,4421900
2019-11-21,59.380001,59.830002,58.900002,59.689999,59.689999,3092800
2019-11-22,59.900002,60.279999,59.200001,59.450001,59.450001,3396600
2019-11-25,59.689999,61.290001,59.590000,61.169998,61.169998,4902300
2019-11-26,60.730000,61.080002,59.910000,60.020000,60.020000,3563400
2019-11-27,60.110001,60.759998,59.610001,60.439999,60.439999,2983300
2019-11-29,60.400002,60.639999,59.720001,60.470001,60.470001,1147800
2019-12-02,60.320000,60.919998,59.410000,60.180000,60.180000,5169800
2019-12-03,59.220001,60.090000,58.529999,60.070000,60.070000,3079000
2019-12-04,60.299999,60.470001,59.910000,59.980000,59.980000,2530500
2019-12-05,60.000000,60.220001,59.230000,60.020000,60.020000,2754600
2019-12-06,60.270000,61.290001,60.169998,60.980000,60.980000,3137800
2019-12-09,61.180000,61.220001,59.139999,59.169998,59.169998,3962400
2019-12-10,59.110001,59.650002,58.970001,59.619999,59.619999,2684900
2019-12-11,59.389999,59.540001,58.490002,58.639999,58.639999,4781200
2019-12-12,58.750000,59.700001,58.310001,58.520000,58.520000,3429200
2019-12-13,57.970001,59.029999,57.049999,57.709999,57.709999,6230700
2019-12-16,58.060001,60.820000,57.639999,60.020000,60.020000,7383000
2019-12-17,59.680000,59.900002,58.799999,58.939999,58.939999,3507300
2019-12-18,59.189999,60.529999,58.880001,60.349998,60.349998,3225700
2019-12-19,63.070000,63.490002,61.720001,61.869999,61.869999,5745600
2019-12-20,61.240002,62.060001,60.509998,61.930000,61.930000,6544200
2019-12-23,62.290001,63.139999,61.750000,62.900002,62.900002,4281700
2019-12-24,63.000000,63.259998,62.560001,63.230000,63.230000,978900
2019-12-26,63.340000,63.560001,62.990002,63.400002,63.400002,1870800
2019-12-27,63.430000,63.669998,63.209999,63.650002,63.650002,1622900
2019-12-30,63.779999,63.790001,62.799999,63.040001,63.040001,2199500
2019-12-31,63.000000,63.389999,62.400002,62.869999,62.869999,2163100
2020-01-02,62.980000,63.270000,60.820000,61.880001,61.880001,4969200
2020-01-03,60.740002,62.119999,60.740002,61.160000,61.160000,4965000
2020-01-06,61.049999,63.099998,60.950001,63.029999,63.029999,4091300
2020-01-07,63.029999,63.290001,61.910000,63.029999,63.029999,3475500
2020-01-08,63.090000,64.589996,62.709999,64.370003,64.370003,3969500
2020-01-09,64.519997,64.769997,63.959999,64.160004,64.160004,2510500
2020-01-10,64.500000,64.989998,64.089996,64.480003,64.480003,2897800
2020-01-13,64.309998,64.440002,62.830002,63.400002,63.400002,4546700
2020-01-14,63.290001,63.560001,62.889999,63.169998,63.169998,5818700
2020-01-15,63.349998,64.989998,63.290001,64.519997,64.519997,3356000
2020-01-16,64.680000,65.180000,64.059998,65.129997,65.129997,2098200
2020-01-17,65.070000,65.080002,63.470001,64.540001,64.540001,3428000
2020-01-21,64.230003,66.089996,64.209999,65.489998,65.489998,3458000
2020-01-22,65.860001,67.489998,65.419998,66.760002,66.760002,8734600
2020-01-23,66.699997,68.080002,65.059998,68.019997,68.019997,11178700
2020-01-24,68.309998,68.639999,66.489998,66.610001,66.610001,7332600
2020-01-27,65.620003,65.660004,62.910000,63.419998,63.419998,11173700
2020-01-28,64.050003,65.500000,63.990002,65.250000,65.250000,6978700
2020-01-29,65.080002,65.879997,64.260002,65.199997,65.199997,8212200
2020-01-30,64.330002,64.570000,62.560001,63.520000,63.520000,6159800
2020-01-31,62.840000,63.240002,62.189999,62.810001,62.810001,8643400
2020-02-03,63.310001,63.410000,62.279999,62.880001,62.880001,7313800
2020-02-04,61.820000,64.000000,60.500000,61.970001,61.970001,8366600
2020-02-05,63.169998,66.339996,63.119999,66.070000,66.070000,6582100
2020-02-06,65.809998,65.989998,63.709999,64.349998,64.349998,5731200
2020-02-07,64.430000,64.440002,62.900002,63.160000,63.160000,3818100
2020-02-10,63.150002,63.270000,62.500000,63.000000,63.000000,4297600
2020-02-11,63.139999,64.209999,63.040001,63.709999,63.709999,3628100
